"JOB .","PayItemID"
"9999",86
"9999",933
"9999",524
"9999",1001
"9999",1002
"9999",625
"9999",709
"9999",639
"9999",904
"9999",102
"9999",489
"9999",544
"9999",625
"9999",1066
"9999",619
"9999",623
"9999",902
"9999",339
"9999",341
"9999",645
"9999",354
"9999",902
"9999",433
"9999",904
"9999",933
"9999",943
"9999",1000
"9999",856
"9999",353
"9999",1065
"9999",814
"9999",813
"9999",358
"9999",957
"9999",621
"9999",487
"9999",751
"9999",812
"9999",944
"9999",904
"9999",1015
"9999",709
"9999",1067
"9999",348
"9999",749
"9999",1076
"9999",1004
"9999",346
"9999",488
"9999",672
"9999",377
"9999",
"9999",1005
"9999",68
"9999",669
"9999",357
"9999",358
"9999",668
"9999",752
"9999",57
"9998",375
"9998",647
"9998",663
"9998",389
"9998",648
"9998",346
"9998",377
"9998",374
"9955",304
"9953",219
"9953",418
"9953",391
"9953",341
"9953",222
"9953",380
"9953",429
"9953",415
"9953",454
"9953",330
"9953",356
"9953",376
"9953",410
"9953",354
"9953",346
"9953",221
"9953",422
"9953",10
"9953",382
"9953",400
"9953",378
"9953",374
"9953",414
"9953",423
"9953",430
"9953",304
"9953",409
"9953",379
"9953",352
"9953",375
"9953",220
"9953",315
"9953",419
"9953",357
"9953",428
"9953",353
"9953",377
"9953",303
"9953",358
"9953",318
"9953",217
"9953",345
"9953",381
"9953",329
"9952",367
"9952",375
"9952",352
"9952",354
"9952",344
"9952",374
"9952",372
"9952",663
"9952",362
"9952",392
"9952",358
"9952",357
"9952",366
"9952",353
"9952",391
"9952",385
"9952",383
"9952",376
"9952",356
"9952",341
"9952",364
"9951",377
"9951",380
"9951",429
"9951",389
"9951",353
"9951",374
"9951",346
"9951",345
"9951",358
"9951",319
"9951",287
"9951",330
"9951",422
"9951",354
"9951",366
"9951",400
"9951",357
"9951",356
"9951",391
"9951",423
"9951",382
"9951",378
"9951",322
"9951",409
"9951",217
"9951",375
"9951",341
"9951",381
"9951",431
"9951",364
"9951",368
"9951",432
"9951",329
"9951",410
"9951",214
"9951",376
"9951",236
"9951",211
"9951",301
"9951",379
"9951",663
"9951",204
"9951",352
"9951",304
"9951",455
"9950",422
"9950",432
"9950",358
"9950",221
"9950",364
"9950",304
"9950",663
"9950",385
"9950",374
"9950",389
"9950",365
"9950",391
"9950",366
"9950",376
"9950",217
"9950",363
"9950",415
"9950",341
"9950",330
"9950",346
"9950",400
"9950",377
"9950",367
"9950",352
"9950",298
"9950",414
"9950",222
"9950",390
"9950",368
"9950",382
"9950",345
"9950",353
"9950",429
"9950",423
"9950",329
"9950",332
"9950",354
"9950",380
"9950",219
"9950",431
"9950",331
"9950",357
"9950",409
"9950",296
"9950",378
"9950",430
"9950",424
"9950",375
"9950",410
"9950",384
"9950",356
"9949",358
"9949",341
"9949",354
"9948",374
"9948",351
"9948",345
"9948",382
"9948",384
"9948",430
"9948",341
"9948",350
"9948",335
"9948",354
"9948",436
"9948",435
"9948",337
"9948",375
"9948",385
"9948",329
"9948",376
"9948",377
"9948",352
"9948",355
"9948",357
"9948",330
"9948",383
"9948",333
"9948",437
"9948",358
"9948",346
"9948",349
"9948",330
"9948",394
"9947",479
"9946",83
"9946",57
"9946",100
"9946",173
"9946",169
"9946",69
"9946",64
"9946",84
"9946",68
"9946",159
"9946",174
"9946",91
"9946",156
"9946",59
"9946",217
"9946",56
"9946",82
"9946",158
"9946",157
"9946",65
"9946",55
"9944",377
"9944",385
"9944",345
"9944",376
"9944",384
"9944",375
"9943",182
"9941",345
"9941",71
"9941",346
"9940",353
"9940",376
"9940",358
"9940",357
"9940",375
"9940",354
"9940",341
"9940",345
"9939",345
"9938",337
"9938",350
"9938",385
"9938",342
"9938",351
"9938",384
"9938",335
"9938",341
"9938",349
"9937",345
"9937",346
"9937",362
"9936",345
"9936",377
"9935",376
"9935",377
"9935",345
"9934",345
"9934",346
"9934",377
"9933",368
"9933",345
"9933",357
"9933",353
"9933",341
"9933",448
"9933",399
"9933",384
"9933",375
"9933",352
"9933",374
"9933",358
"9932",345
"9931",346
"9931",341
"9931",358
"9931",376
"9931",352
"9931",383
"9931",354
"9931",377
"9930",312
"9930",383
"9930",341
"9930",328
"9930",377
"9930",379
"9930",240
"9930",396
"9930",326
"9930",376
"9930",395
"9930",346
"9930",382
"9930",385
"9930",186
"9930",381
"9930",374
"9930",345
"9930",375
"9930",384
"9930",380
"9929",331
"9929",375
"9929",368
"9929",384
"9929",304
"9929",366
"9929",380
"9929",377
"9929",421
"9929",415
"9929",357
"9929",295
"9929",354
"9929",508
"9929",367
"9929",332
"9929",341
"9929",506
"9929",345
"9929",378
"9929",414
"9929",221
"9929",358
"9929",382
"9929",663
"9929",400
"9929",389
"9929",453
"9929",430
"9929",372
"9929",418
"9929",222
"9929",419
"9929",220
"9929",299
"9929",410
"9929",376
"9929",329
"9929",409
"9929",420
"9929",425
"9929",412
"9929",364
"9929",429
"9929",391
"9929",219
"9929",217
"9929",330
"9929",367
"9929",385
"9929",346
"9929",374
"9929",352
"9929",363
"9929",356
"9929",428
"9929",353
"9928",57
"9928",357
"9928",368
"9928",384
"9927",375
"9927",352
"9927",385
"9927",377
"9927",356
"9927",354
"9927",353
"9927",341
"9927",357
"9927",346
"9927",358
"9927",374
"9927",345
"9927",376
"9926",69
"9926",92
"9926",84
"9926",57
"9926",158
"9926",58
"9926",217
"9926",173
"9926",100
"9926",56
"9926",157
"9926",68
"9926",64
"9926",156
"9926",83
"9926",169
"9926",65
"9926",116
"9926",82
"9926",174
"9926",159
"9926",55
"9925",68
"9925",91
"9925",174
"9925",92
"9925",82
"9925",58
"9925",154
"9925",56
"9925",159
"9925",83
"9925",157
"9925",100
"9925",71
"9925",64
"9925",146
"9925",55
"9925",65
"9925",156
"9925",217
"9925",57
"9925",93
"9925",173
"9925",169
"9925",69
"9924",301
"9924",443
"9924",389
"9924",316
"9924",378
"9924",327
"9924",453
"9924",344
"9924",300
"9924",509
"9924",390
"9924",305
"9924",381
"9924",430
"9924",298
"9924",358
"9924",352
"9924",365
"9924",366
"9924",377
"9924",367
"9924",315
"9924",445
"9924",354
"9924",388
"9924",308
"9924",306
"9924",441
"9924",391
"9924",454
"9924",356
"9924",383
"9924",353
"9924",663
"9924",345
"9924",370
"9924",379
"9924",210
"9924",371
"9924",312
"9924",323
"9924",375
"9924",376
"9924",392
"9924",382
"9924",297
"9924",380
"9924",357
"9924",446
"9924",400
"9924",324
"9924",384
"9924",363
"9924",361
"9924",439
"9924",304
"9924",452
"9924",309
"9924",440
"9924",341
"9924",326
"9924",338
"9924",346
"9924",448
"9924",374
"9924",364
"9924",368
"9924",442
"9924",458
"9924",438
"9823",586
"9823",521
"9822",69
"9822",158
"9822",157
"9822",173
"9822",65
"9822",91
"9822",57
"9822",58
"9822",154
"9822",82
"9822",19
"9822",68
"9822",100
"9822",169
"9822",92
"9822",56
"9822",55
"9822",174
"9822",159
"9822",170
"9822",83
"9822",64
"9822",156
"9821",159
"9821",69
"9821",156
"9821",92
"9821",174
"9821",19
"9821",157
"9821",173
"9821",100
"9821",154
"9821",68
"9821",158
"9821",56
"9821",65
"9821",57
"9821",169
"9821",82
"9821",55
"9821",83
"9821",58
"9821",64
"9820",353
"9820",219
"9820",19
"9820",376
"9820",225
"9820",410
"9820",429
"9820",341
"9820",368
"9820",223
"9820",224
"9820",415
"9820",354
"9820",411
"9820",375
"9820",424
"9820",414
"9820",344
"9820",357
"9820",346
"9820",358
"9820",409
"9819",291
"9819",349
"9819",435
"9819",335
"9819",341
"9819",377
"9819",437
"9819",357
"9819",333
"9819",48
"9819",375
"9819",389
"9819",329
"9819",436
"9819",350
"9819",369
"9819",351
"9819",345
"9819",356
"9819",385
"9819",433
"9819",293
"9819",354
"9819",376
"9819",358
"9819",337
"9819",383
"9819",378
"9819",352
"9819",366
"9819",49
"9819",374
"9819",346
"9819",353
"9818",58
"9817",568
"9817",565
"9817",490
"9817",259
"9817",569
"9817",588
"9817",513
"9817",533
"9816",90
"9815",57
"9815",58
"9814",354
"9814",116
"9814",345
"9814",356
"9814",358
"9814",434
"9814",451
"9814",357
"9813",264
"9813",6
"9813",539
"9813",578
"9813",274
"9813",540
"9813",275
"9812",170
"9812",146
"9812",56
"9812",174
"9812",59
"9812",82
"9812",159
"9812",68
"9812",92
"9812",64
"9812",83
"9812",65
"9812",55
"9812",157
"9812",173
"9812",158
"9812",100
"9812",156
"9812",69
"9812",57
"9812",19
"9812",169
"9811",97
"9811",75
"9811",63
"9811",81
"9811",90
"9810",521
"9810",595
"9810",553
"9810",537
"9810",548
"9810",549
"9810",498
"9810",561
"9810",603
"9810",559
"9810",538
"9810",497
"9810",558
"9810",556
"9810",562
"9810",563
"9810",560
"9809",575
"9809",576
"9809",574
"9808",58
"9808",68
"9808",69
"9808",159
"9808",146
"9808",57
"9808",154
"9808",158
"9808",55
"9808",65
"9808",82
"9808",100
"9808",157
"9808",83
"9808",156
"9808",56
"9808",174
"9808",64
"9808",173
"9808",19
"9808",169
"9808",92
"9808",91
"9808",102
